CHSA18_Code,CHSA18_Name,C_ADR_7day,C_ADR_8_14day,C_ADR_7day_change,7d_positivity_all,7d_positivity_public,D1_12_coverage,D1_12_17_coverage,D1_18_coverage,D1_18_49_coverage,D1_50_coverage,D2_12_coverage,D2_12_17_coverage,D2_18_coverage,D2_18_49_coverage,D2_50_coverage
1260,Grand Forks,27,49,-22,14,15,77,57,79,67,84,69,48,71,53,79
1270,Kettle Valley,8,38,-30,11,12,69,41,71,62,75,60,24,62,47,69
1310,Southern Okanagan,21,12,9,13,15,87,71,88,84,90,78,54,80,70,84
1320,Penticton,16,14,2,10,11,85,78,85,78,89,78,64,78,67,85
1330,Keremeos,30,20,10,19,20,79,64,80,77,81,71,46,72,62,76
1340,Princeton,16,16,0,12,13,80,64,81,75,85,72,46,73,62,79
1350,Armstrong/Spallumcheen,31,40,-9,22,23,74,55,76,64,84,65,41,67,50,79
1361,Vernon Centre/Coldstream,19,27,-8,10,10,82,74,82,74,89,74,60,75,62,84
1362,North Okanagan/Lumby,22,40,-18,14,15,75,58,76,63,84,66,44,68,51,78
1371,Central Okanagan Rural,13,12,1,11,13,78,63,78,66,85,70,47,71,52,81
1372,West Kelowna,13,24,-11,7,8,83,71,84,77,89,75,58,76,65,85
1373,Lake Country,22,41,-19,13,14,80,66,81,76,86,71,53,73,64,81
1374,Glenmore,17,24,-7,8,10,87,79,88,85,90,79,67,80,73,86
1375,Downtown Kelowna,14,23,-9,7,8,86,72,86,84,88,76,57,77,70,84
1376,Rutland,22,24,-2,12,14,80,67,80,77,84,69,52,70,64,79
1377,Okanagan Mission,13,11,2,8,9,87,84,87,83,91,80,72,81,74,88
1380,Summerland,6,20,-14,4,4,85,75,85,78,90,78,62,79,68,86
1390,Enderby,47,45,2,26,27,68,38,70,55,80,60,27,62,42,74
1420,Salmon Arm,25,40,-15,14,15,77,60,78,66,86,69,48,71,54,81
1431,Kamloops Centre North,20,33,-13,10,10,83,72,83,77,90,74,58,75,64,85
1432,Kamloops Centre South,17,23,-6,8,9,90,84,91,90,92,82,73,82,77,88
1433,Lower Thompson,12,30,-18,7,8,78,62,79,68,86,70,46,72,56,81
1490,Merritt,20,14,6,13,14,76,60,77,68,85,67,43,69,54,79
2121,South Chilliwack,26,18,8,8,10,80,69,81,74,88,73,58,74,64,84
2122,North Chilliwack,29,30,-1,11,12,73,58,74,66,82,64,44,66,55,78
2131,Central Abbotsford,25,13,12,7,8,80,70,80,76,85,70,54,72,64,80
2132,East Abbotsford,22,13,9,8,10,83,76,84,80,88,76,63,77,71,84
2133,West Abbotsford,11,14,-3,6,8,87,76,88,87,90,78,61,79,75,85
2134,Abbotsford Rural,20,18,2,8,10,83,66,84,83,85,73,52,75,71,80
2141,South Mission,22,22,0,8,9,78,68,79,72,87,69,55,70,60,81
2142,North Mission,20,15,5,8,8,77,66,78,72,84,69,54,70,61,79
2150,Agassiz/Harrison,38,47,-9,18,21,81,64,82,73,89,73,54,74,60,84
2210,New Westminster,8,9,-1,4,5,90,86,90,91,90,84,76,84,83,86
2221,Burnaby Northwest,7,10,-3,2,4,92,88,92,94,90,86,79,86,86,86
2222,Burnaby Northeast,4,7,-3,1,2,90,87,91,93,88,84,78,84,84,85
2223,Burnaby Southwest,8,10,-2,1,6,90,87,90,92,86,83,76,83,84,82
2224,Burnaby Southeast,13,11,2,7,10,88,83,89,89,88,82,72,82,81,84
2231,Haney,7,9,-2,4,4,84,78,85,80,89,77,68,78,70,85
2232,Pitt Meadows,5,6,-1,4,5,89,85,89,86,92,83,76,84,79,89
2233,Maple Ridge Rural,9,13,-4,4,5,84,81,85,81,89,77,69,78,72,86
2241,North Coquitlam,4,9,-5,2,3,88,88,88,88,88,83,79,83,82,85
2242,Southwest Coquitlam,7,7,0,3,5,90,86,90,90,90,84,76,84,82,87
2243,Southeast Coquitlam,1,10,-9,2,3,88,86,88,87,90,82,76,83,79,86
2244,Port Coquitlam,7,10,-3,3,4,88,85,88,86,90,82,75,82,78,87
2245,Port Moody/Anmore/Belcarra,6,6,0,3,4,89,88,90,89,90,85,80,85,83,88
2311,City of Langley,17,12,5,7,8,83,72,84,79,89,75,59,76,69,84
2312,Walnut Grove/Fort Langley,11,7,4,5,6,90,87,90,87,92,84,79,85,80,90
2313,Willoughby,13,15,-2,5,7,88,84,89,88,91,82,74,83,80,87
2314,Brookswood/Murrayville,22,19,3,8,10,85,80,85,80,90,78,67,79,69,87
2315,Aldergrove/Otter,15,11,4,6,6,81,73,82,77,88,73,59,74,66,83
2316,North Langley Township,19,23,-4,6,8,81,71,82,77,86,74,58,75,66,82
2317,South Langley Township,21,12,9,8,9,81,64,82,76,87,74,53,75,64,83
2321,North Delta,4,8,-4,2,3,92,88,92,92,93,84,77,85,82,89
2322,Ladner,6,2,4,3,4,93,91,93,92,94,88,82,88,84,91
2323,Tsawwassen,4,5,-1,2,2,91,89,92,88,93,87,81,87,81,91
2331,Whalley,6,8,-2,4,6,93,84,94,94,92,82,70,83,80,87
2332,North Surrey,14,14,0,5,9,89,76,90,91,88,78,63,79,77,82
2333,Cloverdale,11,12,-1,5,7,89,85,89,88,92,82,76,83,79,88
2334,Panorama,5,8,-3,3,4,93,89,94,93,95,85,78,86,83,91
2335,East Newton,5,6,-1,3,4,94,84,95,95,94,84,72,85,82,90
2336,Fleetwood,7,8,-1,4,6,92,86,92,92,92,84,76,85,82,89
2337,Guildford,7,13,-6,4,6,86,80,87,86,88,79,69,80,76,84
2338,West Newton,3,5,-2,2,3,95,83,96,96,94,83,68,85,82,90
2341,South Surrey,7,8,-1,3,4,88,86,88,86,90,83,76,83,78,87
2342,White Rock,10,6,4,4,6,86,79,86,80,89,80,68,81,70,86
3111,Richmond City Centre,4,3,1,2,7,92,88,92,99,85,84,78,85,89,80
3112,Blundell,1,3,-2,1,3,84,89,84,84,84,80,80,80,77,81
3113,Broadmoor,2,3,-1,1,2,84,86,84,85,84,79,78,79,78,81
3114,Thompson/Seafair,3,4,-1,2,4,86,87,86,86,86,81,80,82,79,83
3115,Steveston,7,5,2,5,8,90,92,90,88,91,86,86,86,83,89
3116,East and West Cambie/Bridgeport,5,5,0,3,7,91,89,91,93,89,85,80,85,85,85
3117,Gilmore/Shellmont/East/Hamilton,4,4,0,3,5,90,86,90,90,90,84,77,84,82,86
3211,Downtown Vancouver,12,16,-4,1,7,94,84,94,99,85,85,68,85,88,80
3212,West End,9,16,-7,3,9,93,81,93,97,87,85,71,86,88,82
3213,Fairview,7,8,-1,2,4,93,91,93,95,92,88,77,88,88,88
3221,Downtown Eastside,30,39,-9,10,14,80,75,80,82,79,69,61,69,69,70
3222,Northeast False Creek,12,12,0,2,7,93,80,93,97,86,84,64,85,87,81
3223,Grandview-Woodland,15,21,-6,5,8,89,84,90,92,86,83,73,83,84,82
3231,Cedar Cottage,4,8,-4,2,4,94,87,94,96,91,87,80,88,88,87
3232,Hastings-Sunrise,9,8,1,4,8,93,91,93,95,92,87,84,88,87,88
3233,Renfrew-Collingwood,5,6,-1,3,4,95,92,96,99,91,89,83,89,90,88
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,6,12,-6,2,5,87,88,87,88,87,82,81,82,80,83
3242,West Point Grey/Dunbar-Southlands,6,9,-3,2,3,91,92,91,91,90,85,85,85,82,88
3243,University of British Columbia,3,18,-15,0,1,96,91,96,100,85,83,80,83,84,80
3244,Kitsilano,7,11,-4,2,4,94,92,94,96,91,88,84,88,89,88
3251,Kensington,4,6,-2,2,3,94,93,94,96,91,88,86,88,89,87
3252,Mount Pleasant,7,9,-2,3,5,93,88,93,95,89,87,78,88,89,84
3253,South Cambie/Riley Park,7,8,-1,5,6,94,93,94,96,91,88,85,89,90,88
3261,Killarney,4,7,-3,2,3,92,89,92,94,91,86,81,87,86,87
3262,Oakridge/Marpole,6,5,1,2,5,89,89,89,92,85,82,79,82,84,81
3263,Sunset,6,9,-3,4,6,95,90,96,98,92,88,80,88,88,88
3264,Victoria-Fraserview,7,6,1,5,8,92,90,93,94,91,87,82,87,87,88
3311,North Vancouver City - East,6,5,1,3,4,92,90,92,92,91,86,82,86,85,88
3312,North Vancouver City - West,8,11,-3,3,7,91,94,91,92,90,85,76,85,85,86
3313,North Vancouver DM - Central,5,7,-2,2,3,93,93,93,92,93,88,86,89,86,91
3314,North Vancouver DM - East,6,10,-4,2,3,92,90,92,90,94,88,83,88,84,91
3315,North Vancouver DM - West,6,7,-1,2,4,94,94,93,94,93,88,85,88,87,90
3321,West Vancouver - Lower,6,10,-4,2,5,89,89,89,88,90,83,78,84,79,86
3322,West Vancouver - Upper,4,5,-1,1,3,87,89,87,84,89,81,77,81,76,85
3323,Bowen Island/Lions Bay,5,3,2,3,6,88,82,89,87,90,83,75,84,79,87
4111,Downtown Victoria/Vic West,30,18,12,17,21,92,86,92,93,91,83,72,84,83,85
4112,James Bay/Fairfield,10,3,7,6,7,93,90,93,93,94,88,80,88,86,90
4113,Oaklands/Fernwood,11,8,3,9,10,93,86,93,94,92,86,77,86,85,88
4114,Oak Bay,2,5,-3,2,2,96,99,95,93,96,91,89,91,86,94
4115,Gordon Head/Shelbourne,4,6,-2,2,2,96,94,96,98,95,90,82,90,89,92
4116,Quadra/Swan Lake,9,5,4,5,7,93,94,93,93,93,87,81,87,85,90
4117,Interurban/Tillicum,8,6,2,7,8,92,89,92,91,93,85,79,86,82,90
4118,View Royal,7,4,3,5,5,91,87,92,90,93,86,77,86,82,90
4119,Esquimalt,11,9,2,10,11,89,85,90,87,92,82,73,83,78,87
4121,Colwood,8,3,5,6,7,89,83,90,86,93,83,72,84,77,90
4122,Metchosin,0,7,-7,0,0,89,86,89,83,93,81,70,81,69,90
4123,Langford/Highlands,3,6,-3,2,2,91,89,91,90,93,83,75,84,80,89
4124,Sooke,5,2,3,5,5,86,82,86,80,91,78,68,79,69,87
4125,Juan de Fuca Coast,12,4,8,4,4,81,76,81,73,87,73,56,74,62,84
4131,Royal Oak/Cordova Bay/Prospect,6,3,3,5,6,94,95,94,92,95,90,86,90,84,93
4132,Central Saanich,1,5,-4,1,1,92,89,92,90,94,87,80,87,82,91
4133,North Saanich,10,6,4,8,10,93,90,93,88,95,88,78,89,80,93
4134,Sidney,7,6,1,7,9,94,92,94,92,95,90,85,90,84,93
4141,Salt Spring Island,8,9,-1,8,9,81,71,82,71,88,74,58,75,60,84
4142,Pender/Galiano/Saturna/Mayne,0,8,-8,0,0,93,87,93,90,94,89,75,89,82,91
4211,South Cowichan,17,20,-3,10,12,86,79,86,80,91,79,64,80,69,88
4212,Central Cowichan,15,22,-7,8,8,83,77,84,76,90,75,62,76,65,85